date,series,count
2020-01-01,Eastern grey kangaroo,24052387
2020-01-01,Euro,570021
2020-01-01,Red kangaroo,11359143
2020-01-01,Tammar Wallaby,87043
2020-01-01,Wallaroo,2907000
2020-01-01,Western grey kangaroo,3781023
2022-01-01,Eastern grey kangaroo,13048565
2022-01-01,Euro,302821
2022-01-01,Grey kangaroo,1858150
2022-01-01,Red kangaroo,10848470
2022-01-01,Tammar Wallaby,42221
2022-01-01,Wallaroo,2035255
2022-01-01,Western grey kangaroo,2830882
2023-01-01,Eastern grey kangaroo,14926428
2023-01-01,Euro,375921
2023-01-01,Grey kangaroo,2363850
2023-01-01,Red kangaroo,12623966
2023-01-01,Tammar Wallaby,384671
2023-01-01,Wallaroo,2334066
2023-01-01,Western grey kangaroo,3545338
2024-01-01,Eastern grey kangaroo,15597740
2024-01-01,Euro,430872
2024-01-01,Grey kangaroo,2363850
2024-01-01,Red kangaroo,11915926
2024-01-01,Tammar Wallaby,384671
2024-01-01,Wallaroo,2128616
2024-01-01,Western grey kangaroo,2510986
